Task                               , Accuracy  , Centered  
hellaswag_zeroshot                 , 0.273949  , 0.031933  
jeopardy                           , 0.000472  , 0.000472  
bigbench_qa_wikidata               , 0.122140  , 0.122140  
arc_easy                           , 0.426768  , 0.235690  
arc_challenge                      , 0.240614  , -0.012514 
copa                               , 0.550000  , 0.100000  
commonsense_qa                     , 0.215397  , 0.019247  
piqa                               , 0.601197  , 0.202394  
openbook_qa                        , 0.264000  , 0.018667  
lambada_openai                     , 0.185911  , 0.185911  
hellaswag                          , 0.275045  , 0.033393  
winograd                           , 0.498168  , -0.003663 
winogrande                         , 0.494080  , -0.011839 
bigbench_dyck_languages            , 0.076000  , 0.076000  
agi_eval_lsat_ar                   , 0.234783  , 0.043478  
bigbench_cs_algorithms             , 0.400000  , 0.400000  
bigbench_operators                 , 0.057143  , 0.057143  
bigbench_repeat_copy_logic         , 0.000000  , 0.000000  
squad                              , 0.003122  , 0.003122  
coqa                               , 0.036077  , 0.036077  
boolq                              , 0.605199  , -0.038951 
bigbench_language_identification   , 0.253300  , 0.178548  
CORE                               ,           , 0.076238  
