Task                               , Accuracy  , Centered  
hellaswag_zeroshot                 , 0.276738  , 0.035650  
jeopardy                           , 0.001889  , 0.001889  
bigbench_qa_wikidata               , 0.128439  , 0.128439  
arc_easy                           , 0.431397  , 0.241863  
arc_challenge                      , 0.245734  , -0.005688 
copa                               , 0.550000  , 0.100000  
commonsense_qa                     , 0.281736  , 0.102170  
piqa                               , 0.599565  , 0.199129  
openbook_qa                        , 0.254000  , 0.005333  
lambada_openai                     , 0.181448  , 0.181448  
hellaswag                          , 0.274547  , 0.032729  
winograd                           , 0.501832  , 0.003663  
winogrande                         , 0.504341  , 0.008682  
bigbench_dyck_languages            , 0.053000  , 0.053000  
agi_eval_lsat_ar                   , 0.243478  , 0.054348  
bigbench_cs_algorithms             , 0.388636  , 0.388636  
bigbench_operators                 , 0.066667  , 0.066667  
bigbench_repeat_copy_logic         , 0.000000  , 0.000000  
squad                              , 0.003311  , 0.003311  
coqa                               , 0.036954  , 0.036954  
boolq                              , 0.589908  , -0.079189 
bigbench_language_identification   , 0.252600  , 0.177778  
CORE                               ,           , 0.078946  
