Task                               , Accuracy  , Centered  
hellaswag_zeroshot                 , 0.457279  , 0.276373  
jeopardy                           , 0.058573  , 0.058573  
bigbench_qa_wikidata               , 0.481620  , 0.481620  
arc_easy                           , 0.659933  , 0.546577  
arc_challenge                      , 0.358362  , 0.144482  
copa                               , 0.620000  , 0.240000  
commonsense_qa                     , 0.226044  , 0.032555  
piqa                               , 0.676279  , 0.352557  
openbook_qa                        , 0.360000  , 0.146667  
lambada_openai                     , 0.386765  , 0.386765  
hellaswag                          , 0.440948  , 0.254597  
winograd                           , 0.666667  , 0.333333  
winogrande                         , 0.556432  , 0.112865  
bigbench_dyck_languages            , 0.126000  , 0.126000  
agi_eval_lsat_ar                   , 0.234783  , 0.043478  
bigbench_cs_algorithms             , 0.384091  , 0.384091  
bigbench_operators                 , 0.166667  , 0.166667  
bigbench_repeat_copy_logic         , 0.031250  , 0.031250  
squad                              , 0.021949  , 0.021949  
coqa                               , 0.206814  , 0.206814  
boolq                              , 0.604281  , -0.041365 
bigbench_language_identification   , 0.252000  , 0.177118  
CORE                               ,           , 0.203771  
