Task                               , Accuracy  , Centered  
hellaswag_zeroshot                 , 0.448915  , 0.265219  
jeopardy                           , 0.070855  , 0.070855  
bigbench_qa_wikidata               , 0.481768  , 0.481768  
arc_easy                           , 0.659933  , 0.546577  
arc_challenge                      , 0.345563  , 0.127418  
copa                               , 0.690000  , 0.380000  
commonsense_qa                     , 0.352170  , 0.190213  
piqa                               , 0.682263  , 0.364527  
openbook_qa                        , 0.342000  , 0.122667  
lambada_openai                     , 0.384242  , 0.384242  
hellaswag                          , 0.435869  , 0.247826  
winograd                           , 0.615385  , 0.230769  
winogrande                         , 0.530387  , 0.060773  
bigbench_dyck_languages            , 0.099000  , 0.099000  
agi_eval_lsat_ar                   , 0.256522  , 0.070652  
bigbench_cs_algorithms             , 0.400758  , 0.400758  
bigbench_operators                 , 0.161905  , 0.161905  
bigbench_repeat_copy_logic         , 0.000000  , 0.000000  
squad                              , 0.079943  , 0.079943  
coqa                               , 0.202555  , 0.202555  
boolq                              , 0.591437  , -0.075165 
bigbench_language_identification   , 0.251000  , 0.176018  
CORE                               ,           , 0.208569  
