Task                               , Accuracy  , Centered  
hellaswag_zeroshot                 , 0.277136  , 0.036181  
jeopardy                           , 0.000945  , 0.000945  
bigbench_qa_wikidata               , 0.152256  , 0.152256  
arc_easy                           , 0.416667  , 0.222222  
arc_challenge                      , 0.238055  , -0.015927 
copa                               , 0.580000  , 0.160000  
commonsense_qa                     , 0.290745  , 0.113432  
piqa                               , 0.579978  , 0.159956  
openbook_qa                        , 0.266000  , 0.021333  
lambada_openai                     , 0.176208  , 0.176208  
hellaswag                          , 0.273053  , 0.030738  
winograd                           , 0.527473  , 0.054945  
winogrande                         , 0.513812  , 0.027624  
bigbench_dyck_languages            , 0.109000  , 0.109000  
agi_eval_lsat_ar                   , 0.252174  , 0.065217  
bigbench_cs_algorithms             , 0.393182  , 0.393182  
bigbench_operators                 , 0.038095  , 0.038095  
bigbench_repeat_copy_logic         , 0.000000  , 0.000000  
squad                              , 0.002081  , 0.002081  
coqa                               , 0.028435  , 0.028435  
boolq                              , 0.549235  , -0.186222 
bigbench_language_identification   , 0.254600  , 0.179978  
CORE                               ,           , 0.080440  
