idx,run,n_correct,n_parseable,pass1,pass8,avg_response_len,has_marker_count,marker_rate,min_rel_err,avg_rel_err,has_near_miss,consistency,most_common_pred,gibberish_count
0,baseline,0,0,False,False,320.5,0,0.0,,,0,0.0,,0
1,baseline,0,0,False,False,162.75,0,0.0,,,0,0.0,,2
2,baseline,2,2,False,True,193.875,2,0.25,,,0,0.25,13,0
3,baseline,5,5,True,True,347.125,5,0.625,,,0,0.625,5,0
4,baseline,0,5,False,False,310.125,5,0.625,0.2,0.6,0,0.25,35,0
5,baseline,0,0,False,False,345.625,0,0.0,,,0,0.0,,0
6,baseline,0,1,False,False,281.75,1,0.125,0.6744186046511628,0.6744186046511628,0,0.125,72,0
7,baseline,0,4,False,False,315.375,4,0.5,0.47058823529411764,1.647058823529412,0,0.25,18,0
8,baseline,1,4,False,True,202.375,4,0.5,0.5,12.541666666666666,0,0.125,180,0
9,baseline,0,4,False,False,309.25,4,0.5,1.0,3.6818181818181817,0,0.25,22,0
10,baseline,0,1,False,False,370.25,1,0.125,0.35294117647058826,0.35294117647058826,0,0.125,22,0
11,baseline,6,7,True,True,168.875,7,0.875,0.3333333333333333,0.3333333333333333,0,0.75,12,0
12,baseline,0,0,False,False,179.375,0,0.0,,,0,0.0,,0
13,baseline,5,7,True,True,297.0,7,0.875,0.6666666666666666,0.7083333333333333,0,0.625,24,0
14,baseline,0,2,False,False,309.625,2,0.25,0.6,1.119047619047619,0,0.125,277,0
15,baseline,7,8,True,True,186.25,8,1.0,0.08333333333333333,0.08333333333333333,1,0.875,120,0
16,baseline,0,1,False,False,245.625,1,0.125,1.5294117647058822,1.5294117647058822,0,0.125,43,1
17,baseline,3,4,False,True,226.375,4,0.5,1.0,1.0,0,0.375,36,1
18,baseline,1,5,False,True,337.25,5,0.625,0.25,1.0625,0,0.25,6,0
19,baseline,0,7,False,False,262.0,7,0.875,0.13333333333333333,0.13333333333333333,0,0.625,39,0
20,baseline,0,0,False,False,160.0,0,0.0,,,0,0.0,,0
21,baseline,2,2,False,True,209.125,2,0.25,,,0,0.25,8,1
22,baseline,0,8,False,False,591.5,8,1.0,0.1111111111111111,0.19791666666666666,0,0.25,30,0
23,baseline,0,8,False,False,274.875,8,1.0,9.0,14.375,0,0.5,15,0
24,baseline,0,4,False,False,224.25,4,0.5,0.1111111111111111,0.4722222222222222,0,0.25,16,0
25,baseline,0,0,False,False,176.75,0,0.0,,,0,0.0,,1
26,baseline,0,4,False,False,556.375,4,0.5,0.1346153846153846,0.4823717948717949,0,0.125,1080,0
27,baseline,0,1,False,False,295.125,1,0.125,0.96,0.96,0,0.125,1,0
28,baseline,0,0,False,False,191.375,0,0.0,,,0,0.0,,2
29,baseline,0,4,False,False,258.375,4,0.5,0.375,1.875,0,0.125,10,1
30,baseline,3,6,False,True,330.125,6,0.75,1.0,61.666666666666664,0,0.375,2,0
31,baseline,0,0,False,False,251.125,0,0.0,,,0,0.0,,1
32,baseline,0,8,False,False,314.625,8,1.0,0.25,0.25,0,1.0,5,0
33,baseline,0,4,False,False,294.625,4,0.5,0.24074074074074073,11.657407407407408,0,0.125,2361,0
34,baseline,0,0,False,False,233.5,0,0.0,,,0,0.0,,0
35,baseline,0,4,False,False,487.25,4,0.5,0.05246913580246913,0.5524691358024691,1,0.125,225,0
36,baseline,0,0,False,False,280.25,0,0.0,,,0,0.0,,1
37,baseline,0,3,False,False,465.125,3,0.375,0.6545454545454545,0.7995454545454544,0,0.125,820,0
38,baseline,0,4,False,False,237.25,4,0.5,0.42857142857142855,0.6428571428571428,0,0.125,25,0
39,baseline,2,6,False,True,289.0,6,0.75,0.12173913043478261,0.5539855072463769,0,0.25,276000,0
40,baseline,0,4,False,False,211.0,4,0.5,0.037037037037037035,1.4189814814814816,1,0.125,540,0
41,baseline,0,2,False,False,431.625,2,0.25,0.25,2.8125,0,0.125,1020,0
42,baseline,4,4,True,True,421.0,4,0.5,,,0,0.5,90,0
43,baseline,3,3,True,True,240.375,3,0.375,,,0,0.375,20,0
44,baseline,0,3,False,False,244.125,3,0.375,0.08783783783783784,4.2725225225225225,1,0.125,322,1
45,baseline,0,0,False,False,270.25,0,0.0,,,0,0.0,,2
46,baseline,2,5,False,True,213.125,5,0.625,0.03333333333333333,0.05555555555555556,1,0.25,28,0
47,baseline,0,4,False,False,334.0,4,0.5,0.125,7.3125,0,0.125,93,1
48,baseline,0,4,False,False,315.625,4,0.5,0.5,0.70625,0,0.25,960,0
49,baseline,0,0,False,False,144.875,0,0.0,,,0,0.0,,0
50,baseline,0,2,False,False,225.125,2,0.25,0.15384615384615385,0.19230769230769232,0,0.125,10,0
51,baseline,0,5,False,False,324.125,5,0.625,0.2857142857142857,5.157142857142857,0,0.125,300,0
52,baseline,0,7,False,False,226.75,7,0.875,0.4,0.7714285714285715,0,0.5,14,1
53,baseline,0,0,False,False,200.0,0,0.0,,,0,0.0,,0
54,baseline,3,7,True,True,243.125,7,0.875,0.2,0.55,0,0.375,50,0
55,baseline,0,7,False,False,345.875,7,0.875,0.043478260869565216,0.44875776397515527,1,0.25,10,0
56,baseline,0,6,False,False,238.875,6,0.75,0.006420545746388443,0.08186195826645265,1,0.125,602,0
57,baseline,0,0,False,False,184.75,0,0.0,,,0,0.0,,1
58,baseline,0,6,False,False,389.375,6,0.75,0.23529411764705882,1.8431372549019607,0,0.25,9,0
59,baseline,1,2,False,True,290.875,2,0.25,0.031914893617021274,0.031914893617021274,1,0.125,910,2
60,baseline,1,1,False,True,216.125,1,0.125,,,0,0.125,10,0
61,baseline,1,1,False,True,234.375,1,0.125,,,0,0.125,540,0
62,baseline,1,2,True,True,213.125,2,0.25,4.454545454545454,4.454545454545454,0,0.125,110,3
63,baseline,0,0,False,False,303.75,0,0.0,,,0,0.0,,0
64,baseline,2,6,False,True,359.125,6,0.75,0.775,2.9419642857142856,0,0.25,3360,0
65,baseline,0,0,False,False,276.75,0,0.0,,,0,0.0,,0
66,baseline,0,0,False,False,237.875,0,0.0,,,0,0.0,,0
67,baseline,0,6,False,False,363.375,6,0.75,14.0,21.833333333333332,0,0.375,60,0
68,baseline,0,5,False,False,294.75,5,0.625,0.18181818181818182,0.9909090909090909,0,0.25,66,0
69,baseline,0,1,False,False,273.375,1,0.125,0.578125,0.578125,0,0.125,27,2
70,baseline,0,0,False,False,160.75,0,0.0,,,0,0.0,,0
71,baseline,2,7,True,True,317.375,7,0.875,1.0,1.4,0,0.375,20,0
72,baseline,0,0,False,False,166.75,0,0.0,,,0,0.0,,3
73,baseline,7,8,True,True,319.25,8,1.0,0.2857142857142857,0.2857142857142857,0,0.875,140,0
74,baseline,3,7,False,True,183.625,7,0.875,0.25,0.5208333333333333,0,0.375,720,0
75,baseline,0,0,False,False,158.25,0,0.0,,,0,0.0,,2
76,baseline,0,1,False,False,275.5,1,0.125,0.25,0.25,0,0.125,10,1
77,baseline,0,7,False,False,381.75,7,0.875,0.1,0.6,0,0.5,35,0
78,baseline,0,4,False,False,324.625,4,0.5,0.30434782608695654,0.4257246376811594,0,0.375,180,0
79,baseline,0,2,False,False,280.0,2,0.25,0.7657142857142857,1.2457142857142858,0,0.125,477,0
80,baseline,5,7,True,True,245.5,7,0.875,0.25,0.5,0,0.625,64,0
81,baseline,0,0,False,False,133.75,0,0.0,,,0,0.0,,1
82,baseline,1,6,False,True,339.625,6,0.75,0.16666666666666666,0.19333333333333333,0,0.5,840,0
83,baseline,0,8,False,False,342.375,8,1.0,0.038461538461538464,1.4631410256410253,1,0.25,300,0
84,baseline,2,2,False,True,208.625,2,0.25,,,0,0.25,60,2
85,baseline,0,0,False,False,390.875,0,0.0,,,0,0.0,,0
86,baseline,0,7,False,False,464.125,7,0.875,0.2,3.714285714285714,0,0.25,80000,0
87,baseline,0,3,False,False,415.875,3,0.375,0.26436781609195403,0.3716475095785441,0,0.125,61500,1
88,baseline,0,4,False,False,237.0,4,0.5,0.3333333333333333,0.4416666666666666,0,0.125,55,1
89,baseline,0,0,False,False,323.0,0,0.0,,,0,0.0,,0
90,baseline,3,6,True,True,563.125,6,0.75,0.16666666666666666,0.5277777777777778,0,0.375,60,1
91,baseline,0,8,False,False,297.375,8,1.0,0.20833333333333334,0.4583333333333333,0,0.25,9,0
92,baseline,0,5,False,False,346.5,5,0.625,0.17439703153988867,1.0066790352504638,0,0.125,1150,0
93,baseline,0,2,False,False,386.625,2,0.25,0.2222222222222222,10.166666666666666,0,0.125,22,0
94,baseline,0,7,False,False,325.125,7,0.875,0.14285714285714285,0.49999999999999994,0,0.25,6,0
95,baseline,0,8,False,False,265.375,8,1.0,0.5,0.6458333333333333,0,0.875,100,0
96,baseline,0,0,False,False,230.5,0,0.0,,,0,0.0,,1
97,baseline,0,1,False,False,209.5,1,0.125,0.7731958762886598,0.7731958762886598,0,0.125,516,2
98,baseline,0,0,False,False,264.125,0,0.0,,,0,0.0,,1
99,baseline,4,7,False,True,210.75,7,0.875,1.0,1.5238095238095237,0,0.5,63,0
100,baseline,0,0,False,False,323.25,0,0.0,,,0,0.0,,1
