Task                               , Accuracy  , Centered  
hellaswag_zeroshot                 , 0.300737  , 0.067649  
jeopardy                           , 0.001417  , 0.001417  
bigbench_qa_wikidata               , 0.035579  , 0.035579  
arc_easy                           , 0.387626  , 0.183502  
arc_challenge                      , 0.250000  , -0.000000 
copa                               , 0.520000  , 0.040000  
commonsense_qa                     , 0.237510  , 0.046888  
piqa                               , 0.579434  , 0.158868  
openbook_qa                        , 0.240000  , -0.013333 
lambada_openai                     , 0.048127  , 0.048127  
hellaswag                          , 0.292472  , 0.056629  
winograd                           , 0.523810  , 0.047619  
winogrande                         , 0.505919  , 0.011839  
bigbench_dyck_languages            , 0.098000  , 0.098000  
agi_eval_lsat_ar                   , 0.295652  , 0.119565  
bigbench_cs_algorithms             , 0.178788  , 0.178788  
bigbench_operators                 , 0.023810  , 0.023810  
bigbench_repeat_copy_logic         , 0.000000  , 0.000000  
squad                              , 0.002554  , 0.002554  
coqa                               , 0.006764  , 0.006764  
boolq                              , 0.528746  , -0.240142 
bigbench_language_identification   , 0.253900  , 0.179208  
CORE                               ,           , 0.047879  
