=== normalize ===
wall_time_ms=447.69
         262204 function calls in 0.191 seconds

   Ordered by: cumulative time
   List reduced from 55 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.191    0.191 profile:0(<function main.<locals>.<lambda> at 0x103137ce0>)
        1    0.000    0.000    0.190    0.190 /Users/qianwen/csc/csc490/AI-Accountant/autobook/scripts/profile_a5_backend.py:73(<lambda>)
        1    0.001    0.001    0.190    0.190 /Users/qianwen/csc/csc490/AI-Accountant/autobook/scripts/profile_a5_backend.py:73(<listcomp>)
     3000    0.016    0.000    0.189    0.000 /Users/qianwen/csc/csc490/AI-Accountant/autobook/backend/services/shared/normalization.py:227(normalize)
     3000    0.016    0.000    0.046    0.000 /Users/qianwen/csc/csc490/AI-Accountant/autobook/backend/services/shared/normalization.py:144(extract_party_mentions)
     3000    0.024    0.000    0.045    0.000 /Users/qianwen/csc/csc490/AI-Accountant/autobook/backend/services/shared/normalization.py:103(extract_amount_mentions)
     3000    0.008    0.000    0.026    0.000 /Users/qianwen/csc/csc490/AI-Accountant/autobook/backend/services/shared/normalization.py:132(extract_date_mentions)
     3600    0.004    0.000    0.023    0.000 /Users/qianwen/csc/csc490/AI-Accountant/autobook/backend/services/shared/normalization.py:66(_normalize_party_value)
     3000    0.013    0.000    0.022    0.000 /Users/qianwen/csc/csc490/AI-Accountant/autobook/backend/services/shared/normalization.py:159(extract_quantity_mentions)
     6600    0.006    0.000    0.019    0.000 :0(join)
     1800    0.002    0.000    0.014    0.000 /Users/qianwen/csc/csc490/AI-Accountant/autobook/backend/services/shared/normalization.py:70(_normalize_date_string)
    11400    0.008    0.000    0.013    0.000 /Users/qianwen/csc/csc490/AI-Accountant/autobook/backend/services/shared/normalization.py:67(<genexpr>)
      600    0.000    0.000    0.011    0.000 :0(strptime)
      600    0.001    0.000    0.010    0.000 /Users/qianwen/anaconda3/lib/python3.11/_strptime.py:565(_strptime_datetime)
    33600    0.010    0.000    0.010    0.000 :0(group)


