test_case_id,tier,transaction_text,actual_cost_usd,total_latency_s,exp_relationship,exp_account,exp_debit,exp_credit,act_account,act_debit,act_credit,act_relationship,act_category,act_count
basic_01_inventory_cash,basic,Purchase inventory for $100 cash,0.0268,15.1,asset_increase,Inventories — Merchandise,100.00,,Inventories — merchandise,100.00,,asset_increase,Inventories — merchandise,1
,,,,,asset_decrease,Cash,,100.00,Cash,,100.00,asset_decrease,Cash and cash equivalents,1
,,,,,,TOTAL,100.00,100.00,TOTAL,100.00,100.00,,,
,,,,,,,,,,,,,,
basic_02_inventory_on_account,basic,Purchase inventory $300 on account,0.0253,14.9,asset_increase,Inventories — Merchandise,300.00,,Inventories — merchandise,300.00,,asset_increase,Inventories — merchandise,1
,,,,,liability_increase,Trade payables,,300.00,Trade payables,,300.00,liability_increase,Trade payables,1
,,,,,,TOTAL,300.00,300.00,TOTAL,300.00,300.00,,,
,,,,,,,,,,,,,,
basic_03_issue_stock_with_apic,basic,"Issue common stock for $180 cash ($100 par, $80 APIC)",0.0283,37.8,asset_increase,Cash,180.00,,Cash,180.00,,asset_increase,Cash and cash equivalents,1
,,,,,equity_increase,Share capital — Common,,100.00,Common Stock,,100.00,?,?,
,,,,,equity_increase,Additional paid-in capital,,80.00,Share Premium,,80.00,equity_increase,Share premium,1
,,,,,,,,,,,,equity_increase,Issued capital,1
,,,,,,TOTAL,180.00,180.00,TOTAL,180.00,180.00,,,
,,,,,,,,,,,,,,
basic_04_sell_inventory,basic,Sell inventory (cost $300) for $500 cash,0.0310,13.1,asset_increase,Cash,500.00,,Cash,500.00,,asset_increase,Cash and cash equivalents,1
,,,,,expense_increase,Cost of goods sold,300.00,,Cost of Sales,300.00,,expense_increase,Cost of sales,1
,,,,,revenue_increase,Revenue — Product sales,,500.00,Revenue from Sale of Goods,,500.00,revenue_increase,Revenue from sale of goods,1
