test_case_id,variant_name,debit_tuple_exact_match,credit_tuple_exact_match,debit_tuple_slot_accuracy,credit_tuple_slot_accuracy,entry_valid,debit_tuple,credit_tuple,total_cost_usd,total_latency_ms,total_input_tokens,total_output_tokens,iteration_count,final_decision,fix_attempted,fix_succeeded,pre_fix_debit_tuple,post_fix_debit_tuple,pre_fix_credit_tuple,post_fix_credit_tuple,fix_root_cause_agent,rejection_reason,diagnostician_decision,error,variant
01_inventory_cash,classify_and_build,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.0036257999999999993,12011,1637,315,1,error,,,,,,,,,,,classify_and_build
04_sell_inventory,classify_and_build,True,True,1.0,1.0,True,"[1, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0]",0.006102600000000001,13138,1643,480,1,error,,,,,,,,,,,classify_and_build
08_deliver_service_against_deposit,classify_and_build,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",0.004586399999999999,14464,1639,379,1,error,,,,,,,,,,,classify_and_build
02_inventory_on_account,classify_and_build,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.0042018,10855,1614,358,1,error,,,,,,,,,,,classify_and_build
12_pay_salaries,classify_and_build,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.0038415,14109,1613,334,1,error,,,,,,,,,,,classify_and_build
07_loan_to_equity,classify_and_build,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]",0.0050868,12594,1614,417,1,error,,,,,,,,,,,classify_and_build
15_no_entry,classify_and_build,True,True,1.0,1.0,False,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",0.0028305,9975,1636,262,1,error,,,,,,,,,,,classify_and_build
11_convert_preferred_to_common,classify_and_build,True,True,1.0,1.0,True,"[0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",0.0047570999999999985,13194,1615,395,1,error,,,,,,,,,,,classify_and_build
05_pay_accounts_payable,classify_and_build,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",0.0040065,11473,1613,345,1,error,,,,,,,,,,,classify_and_build
10_declare_dividend,classify_and_build,True,True,1.0,1.0,True,"[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.0042165,10765,1613,359,1,error,,,,,,,,,,,classify_and_build
09_repurchase_stock,classify_and_build,True,True,1.0,1.0,True,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",0.0040377,11262,1617,347,1,error,,,,,,,,,,,classify_and_build
06_refinance_loan,classify_and_build,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",0.0051051,14926,1625,418,1,error,,,,,,,,,,,classify_and_build
14_casualty_loss,classify_and_build,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.004662299999999999,12896,1642,384,1,error,,,,,,,,,,,classify_and_build
03_issue_stock_with_apic,classify_and_build,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0]",0.005435399999999999,13525,1626,440,1,error,,,,,,,,,,,classify_and_build
13_accrue_utility,classify_and_build,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",-0.001767900000000001,19965,80,267,1,error,,,,,,,,,,,classify_and_build
01_inventory_cash,full_pipeline,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.022893,22096,5636,399,1,error,,,,,,,,,,,full_pipeline
04_sell_inventory,full_pipeline,True,True,1.0,1.0,True,"[1, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0]",0.02559,26711,6060,494,1,error,,,,,,,,,,,full_pipeline
08_deliver_service_against_deposit,full_pipeline,True,False,1.0,0.8333333333333334,True,"[0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0]",0.032472,40822,6449,875,1,error,,,,,,,,,,,full_pipeline
12_pay_salaries,full_pipeline,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.022077,22313,5599,352,1,error,,,,,,,,,,,full_pipeline
02_inventory_on_account,full_pipeline,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.023442,22488,5669,429,1,error,,,,,,,,,,,full_pipeline
11_convert_preferred_to_common,full_pipeline,True,True,1.0,1.0,True,"[0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",0.024861,25588,5832,491,1,error,,,,,,,,,,,full_pipeline
15_no_entry,full_pipeline,True,True,1.0,1.0,False,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",0.015444000000000001,20798,3883,253,1,error,,,,,,,,,,,full_pipeline
07_loan_to_equity,full_pipeline,True,False,1.0,0.8333333333333334,True,"[0, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 0]",0.030470999999999998,34352,6322,767,1,error,,,,,,,,,,,full_pipeline
05_pay_accounts_payable,full_pipeline,True,False,1.0,0.6666666666666666,True,"[0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",0.027162000000000002,25988,5869,637,1,error,,,,,,,,,,,full_pipeline
06_refinance_loan,full_pipeline,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",0.026367,26396,5994,559,1,error,,,,,,,,,,,full_pipeline
10_declare_dividend,full_pipeline,True,False,1.0,0.8333333333333334,True,"[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",0.026547,27554,6034,563,1,error,,,,,,,,,,,full_pipeline
09_repurchase_stock,full_pipeline,False,True,0.6666666666666666,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.018945,28720,4285,406,1,error,,,,,,,,,,,full_pipeline
14_casualty_loss,full_pipeline,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.024726,28324,5857,477,1,error,,,,,,,,,,,full_pipeline
13_accrue_utility,full_pipeline,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.024168000000000002,23750,5761,459,1,error,,,,,,,,,,,full_pipeline
03_issue_stock_with_apic,full_pipeline,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0]",0.025092,35122,5974,478,1,error,,,,,,,,,,,full_pipeline
05_pay_accounts_payable,single_agent,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",0.0058215,4257,25,276,1,error,,,,,,,,,,,single_agent
09_repurchase_stock,single_agent,True,True,1.0,1.0,True,"[0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",0.006049500000000001,4726,25,291,1,error,,,,,,,,,,,single_agent
06_refinance_loan,single_agent,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",0.006355499999999999,5324,25,311,1,error,,,,,,,,,,,single_agent
15_no_entry,single_agent,True,True,1.0,1.0,True,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",0.0039015,2152,25,148,1,error,,,,,,,,,,,single_agent
13_accrue_utility,single_agent,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.006333000000000001,4758,25,310,1,error,,,,,,,,,,,single_agent
10_declare_dividend,single_agent,True,True,1.0,1.0,True,"[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.0057915,5214,25,274,1,error,,,,,,,,,,,single_agent
14_casualty_loss,single_agent,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.006365999999999999,4861,25,312,1,error,,,,,,,,,,,single_agent
01_inventory_cash,single_agent,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.00546225,3065,25,252,1,error,,,,,,,,,,,single_agent
04_sell_inventory,single_agent,True,True,1.0,1.0,True,"[1, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0]",0.00780675,5522,25,408,1,error,,,,,,,,,,,single_agent
12_pay_salaries,single_agent,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.0055965,3792,25,261,1,error,,,,,,,,,,,single_agent
08_deliver_service_against_deposit,single_agent,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",0.00630375,5279,25,308,1,error,,,,,,,,,,,single_agent
03_issue_stock_with_apic,single_agent,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0]",0.00665625,5548,25,331,1,error,,,,,,,,,,,single_agent
07_loan_to_equity,single_agent,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]",0.00585225,4636,25,278,1,error,,,,,,,,,,,single_agent
11_convert_preferred_to_common,single_agent,True,True,1.0,1.0,True,"[0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",0.006213000000000001,4604,25,302,1,error,,,,,,,,,,,single_agent
02_inventory_on_account,single_agent,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.00576225,3981,25,272,1,error,,,,,,,,,,,single_agent
01_inventory_cash,with_correction,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.0187065,14586,3349,466,1,error,,,,,,,,,,,with_correction
04_sell_inventory,with_correction,True,True,1.0,1.0,True,"[1, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0]",0.021357,17167,3361,640,1,error,,,,,,,,,,,with_correction
12_pay_salaries,with_correction,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.012171750000000002,13985,1791,342,1,error,,,,,,,,,,,with_correction
02_inventory_on_account,with_correction,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.0184275,18003,3326,452,1,error,,,,,,,,,,,with_correction
08_deliver_service_against_deposit,with_correction,True,False,1.0,0.8333333333333334,True,"[0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0]",0.032346,35171,3330,1379,1,error,,,,,,,,,,,with_correction
15_no_entry,with_correction,True,True,1.0,1.0,False,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",0.01697475,13493,3347,351,1,error,,,,,,,,,,,with_correction
07_loan_to_equity,with_correction,True,False,1.0,0.8333333333333334,True,"[0, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 0]",0.0246315,25027,3349,861,1,error,,,,,,,,,,,with_correction
11_convert_preferred_to_common,with_correction,True,True,1.0,1.0,True,"[0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",0.01946925,18428,3328,521,1,error,,,,,,,,,,,with_correction
05_pay_accounts_payable,with_correction,True,False,1.0,0.6666666666666666,True,"[0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",0.021600750000000002,20906,3324,664,1,error,,,,,,,,,,,with_correction
10_declare_dividend,with_correction,True,False,1.0,0.6666666666666666,True,"[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0]",0.019284750000000003,19041,3347,505,1,error,,,,,,,,,,,with_correction
06_refinance_loan,with_correction,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",0.020796750000000003,21579,3348,605,1,error,,,,,,,,,,,with_correction
09_repurchase_stock,with_correction,False,True,0.6666666666666666,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.019512750000000002,15972,3332,523,1,error,,,,,,,,,,,with_correction
14_casualty_loss,with_correction,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0]",0.01974525,17393,3359,533,1,error,,,,,,,,,,,with_correction
13_accrue_utility,with_correction,True,True,1.0,1.0,True,"[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0]",0.01940325,17119,3351,512,1,error,,,,,,,,,,,with_correction
03_issue_stock_with_apic,with_correction,True,True,1.0,1.0,True,"[1, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0]",0.0137505,18428,1804,444,1,error,,,,,,,,,,,with_correction
04_sell_inventory,with_evaluation,True,True,1.0,1.0,True,"[1, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0]",0.017514000000000002,20118,4173,333,1,error,,,,,,,,,,,with_evaluation
08_deliver_service_against_deposit,with_evaluation,True,True,1.0,1.0,True,"[0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",0.017838,22851,4171,355,1,error,,,,,,,,,,,with_evaluation
